symbol,short_name,region,exchange,exchange_timezone,market_cap,beta
AA,Alcoa Corporation,US,NYQ,EDT,8680380416,2.553
AAL,"American Airlines Group, Inc.",US,NMS,EDT,7147851264,1.27
AAP,Advance Auto Parts Inc.,US,NYQ,EDT,2247615232,1.293
AAPL,Apple Inc.,US,NMS,EDT,3207068385280,1.178
ABBV,AbbVie Inc.,US,NYQ,EDT,373848178688,0.598
ABNB,"Airbnb, Inc.",US,NMS,EDT,76337840128,1.108
ABR,Arbor Realty Trust,US,NYQ,EDT,2351756800,1.989
ABT,Abbott Laboratories,US,NYQ,EDT,219755692032,0.693
ACHR,Archer Aviation Inc.,US,NYQ,EDT,4285513216,3.143
ACI,"Albertsons Companies, Inc.",US,NYQ,EDT,12213309440,0.35
ACN,Accenture plc,US,NYQ,EDT,199415545856,1.239
ADBE,Adobe Inc.,US,NMS,EDT,171671240704,1.37
ADI,"Analog Devices, Inc.",US,NMS,EDT,103534993408,1.072
ADM,Archer-Daniels-Midland Company,US,NYQ,EDT,22632577024,0.662
ADP,"Automatic Data Processing, Inc.",US,NMS,EDT,118708690944,0.777
ADSK,"Autodesk, Inc.",US,NMS,EDT,54193590272,1.509
AEO,"American Eagle Outfitters, Inc.",US,NYQ,EDT,2124648192,1.546
AFL,AFLAC Incorporated,US,NYQ,EDT,58621566976,0.926
AFRM,"Affirm Holdings, Inc.",US,NMS,EDT,16030457856,3.638
AG,First Majestic Silver Corp.,US,NYQ,EDT,3233721088,1.24
AGNC,AGNC Investment Corp.,US,NMS,EDT,9374351360,1.494
AI,"C3.ai, Inc.",US,NYQ,EDT,2868489984,2.02
AIG,"American International Group, I",US,NYQ,EDT,49323769856,1.0
AKAM,"Akamai Technologies, Inc.",US,NMS,EDT,12135173120,0.676
ALB,Albemarle Corporation,US,NYQ,EDT,8845017088,1.704
ALGN,"Align Technology, Inc.",US,NMS,EDT,12231920640,1.688
ALLY,Ally Financial Inc.,US,NYQ,EDT,10466411520,1.384
ALT,"Altimmune, Inc.",US,NGM,EDT,455921088,0.855
AMAT,"Applied Materials, Inc.",US,NMS,EDT,126464573440,1.619
AMBA,"Ambarella, Inc.",US,NMS,EDT,2284435456,1.779
AMC,"AMC Entertainment Holdings, Inc",US,NYQ,EDT,1252655104,2.085
AMD,"Advanced Micro Devices, Inc.",US,NMS,EDT,163619864576,1.736
AMGN,Amgen Inc.,US,NMS,EDT,168526577664,0.524
AMZN,"Amazon.com, Inc.",US,NMS,EDT,2097814568960,1.192
ANET,"Arista Networks, Inc.",US,NYQ,EDT,105316130816,1.079
ANF,Abercrombie & Fitch Company,US,NYQ,EDT,4019237888,1.457
ANVS,"Annovis Bio, Inc.",US,NYQ,EDT,33321402,1.65
APA,APA Corporation,US,NMS,EDT,7139295232,3.27
APO,"Apollo Global Management, Inc. ",US,NYQ,EDT,76626878464,1.647
APT,"Alpha Pro Tech, Ltd.",US,ASE,EDT,56643308,
AR,Antero Resources Corporation,US,NYQ,EDT,11691032576,3.4
ASAN,"Asana, Inc.",US,NYQ,EDT,3174675456,1.128
ASML,ASML Holding N.V. - New York Re,US,NMS,EDT,280744787968,1.113
ASO,"Academy Sports and Outdoors, In",US,NMS,EDT,3129809408,1.249
ASPN,"Aspen Aerogels, Inc.",US,NYQ,EDT,605596928,2.279
ASTS,"AST SpaceMobile, Inc.",US,NMS,EDT,8909249536,1.616
AVGO,Broadcom Inc.,US,NMS,EDT,919419289600,1.03
AXP,American Express Company,US,NYQ,EDT,186235863040,1.212
AZN,Astrazeneca PLC,US,NMS,EDT,240585605120,0.157
BA,Boeing Company (The),US,NYQ,EDT,121746972672,1.526
BABA,Alibaba Group Holding Limited,US,NYQ,EDT,335156281344,0.272
BAC,Bank of America Corporation,US,NYQ,EDT,310878502912,1.331
